timestamp,relay,slot
2023-06-14,flashbots,2117
2023-09-16,flashbots,2116
2023-06-25,flashbots,2112
2023-08-19,ultrasound,2112
2023-05-16,agnostic Gnosis,2110
2023-07-25,flashbots,2107
2022-09-24,flashbots,2106
2023-03-14,flashbots,2105
2023-06-16,flashbots,2104
2023-08-09,flashbots,2104
2023-06-23,flashbots,2100
2023-06-09,flashbots,2099
2023-03-12,ultrasound,2098
2023-06-07,flashbots,2096
2023-07-11,agnostic Gnosis,2089
2023-07-28,flashbots,2085
2023-09-17,flashbots,2084
2022-09-23,flashbots,2080
2023-04-17,agnostic Gnosis,2079
2023-09-15,flashbots,2078
2023-08-17,flashbots,2076
2023-09-14,flashbots,2073
2023-06-02,flashbots,2070
2023-07-20,ultrasound,2070
2023-06-08,flashbots,2069
2023-07-07,agnostic Gnosis,2069
2023-08-08,flashbots,2068
2023-04-14,ultrasound,2067
2023-03-28,ultrasound,2063
2023-08-27,flashbots,2063
2023-07-21,agnostic Gnosis,2061
2023-08-29,flashbots,2061
2023-05-28,flashbots,2059
2023-03-31,ultrasound,2058
2023-03-15,flashbots,2054
2023-09-13,flashbots,2052
2023-06-15,flashbots,2050
2023-08-19,flashbots,2048
2023-07-29,bloxroute (max profit),2047
2023-09-03,flashbots,2047
2023-08-04,flashbots,2046
2023-09-10,flashbots,2046
2023-07-30,flashbots,2045
2023-06-05,flashbots,2040
2023-07-10,agnostic Gnosis,2039
2023-08-03,flashbots,2039
2023-08-18,flashbots,2038
2023-04-10,agnostic Gnosis,2029
2023-08-25,flashbots,2029
2023-05-17,agnostic Gnosis,2026
2023-07-09,agnostic Gnosis,2024
2023-05-02,flashbots,2019
2023-08-07,flashbots,2019
2023-03-21,ultrasound,2017
2023-09-01,flashbots,2016
2023-05-31,flashbots,2008
2023-08-28,flashbots,2006
2023-04-18,flashbots,2002
2023-04-11,agnostic Gnosis,2000
2023-03-20,ultrasound,1999
2023-04-18,ultrasound,1995
2023-03-17,ultrasound,1994
2023-07-04,agnostic Gnosis,1994
2023-07-29,flashbots,1994
2022-10-31,Other/None,1992
2023-04-16,ultrasound,1992
2023-07-19,agnostic Gnosis,1992
2023-08-12,flashbots,1992
2023-08-30,flashbots,1990
2023-06-06,flashbots,1988
2023-04-11,ultrasound,1987
2023-05-25,flashbots,1986
2023-08-31,flashbots,1986
2023-08-14,agnostic Gnosis,1985
2023-04-08,flashbots,1982
2023-07-22,agnostic Gnosis,1982
2023-08-13,agnostic Gnosis,1982
2023-04-09,flashbots,1981
2023-09-02,flashbots,1981
2023-08-16,flashbots,1978
2023-07-24,agnostic Gnosis,1977
2023-03-19,ultrasound,1975
2023-04-10,flashbots,1974
2023-07-14,agnostic Gnosis,1973
2022-11-01,Other/None,1966
2023-07-20,agnostic Gnosis,1966
2023-03-12,agnostic Gnosis,1964
2023-03-18,flashbots,1963
2023-05-03,flashbots,1957
2023-07-23,agnostic Gnosis,1957
2023-04-08,agnostic Gnosis,1955
2023-07-27,flashbots,1955
2023-04-19,agnostic Gnosis,1953
2023-08-26,flashbots,1949
2023-04-16,agnostic Gnosis,1948
2023-04-09,agnostic Gnosis,1947
2023-04-20,ultrasound,1947
2023-03-30,ultrasound,1945
2023-04-03,ultrasound,1945
2023-08-21,flashbots,1943
2023-03-18,ultrasound,1941
2023-08-20,flashbots,1938
2023-07-08,agnostic Gnosis,1929
2023-07-25,agnostic Gnosis,1924
2023-08-29,agnostic Gnosis,1918
2023-03-19,flashbots,1914
2023-08-11,flashbots,1910
2023-07-27,agnostic Gnosis,1909
2023-07-28,agnostic Gnosis,1909
2023-08-28,agnostic Gnosis,1909
2023-08-30,agnostic Gnosis,1907
2023-07-30,bloxroute (max profit),1903
2023-05-07,flashbots,1900
2023-07-19,bloxroute (max profit),1898
2023-07-28,bloxroute (max profit),1896
2023-08-10,flashbots,1895
2023-05-18,agnostic Gnosis,1892
2023-08-08,agnostic Gnosis,1891
2023-08-15,agnostic Gnosis,1888
2023-08-16,agnostic Gnosis,1888
2023-05-01,agnostic Gnosis,1886
2023-05-06,flashbots,1884
2023-08-09,agnostic Gnosis,1884
2023-04-26,agnostic Gnosis,1881
2023-04-27,agnostic Gnosis,1881
2023-05-04,flashbots,1877
2023-05-24,agnostic Gnosis,1877
2023-08-23,agnostic Gnosis,1876
2023-04-16,flashbots,1874
2023-08-17,agnostic Gnosis,1872
2023-08-22,agnostic Gnosis,1872
2023-03-10,agnostic Gnosis,1871
2023-04-12,flashbots,1870
2023-04-18,agnostic Gnosis,1870
2023-03-24,flashbots,1866
2023-08-21,agnostic Gnosis,1865
2023-08-22,flashbots,1865
2023-03-22,flashbots,1861
2023-05-03,agnostic Gnosis,1861
2023-04-15,agnostic Gnosis,1860
2023-05-21,agnostic Gnosis,1858
2023-03-16,agnostic Gnosis,1857
2023-03-21,flashbots,1857
2023-03-13,agnostic Gnosis,1856
2023-03-23,flashbots,1855
2023-09-11,agnostic Gnosis,1853
2023-08-19,agnostic Gnosis,1852
2023-09-17,agnostic Gnosis,1852
2023-08-24,flashbots,1851
2023-05-15,agnostic Gnosis,1850
2023-09-14,agnostic Gnosis,1847
2023-04-11,flashbots,1845
2023-09-06,agnostic Gnosis,1844
2023-05-25,agnostic Gnosis,1843
2023-08-12,agnostic Gnosis,1843
2023-09-13,agnostic Gnosis,1842
2023-03-20,flashbots,1836
2023-07-16,agnostic Gnosis,1833
2023-08-23,flashbots,1831
2023-08-25,agnostic Gnosis,1831
2023-03-27,flashbots,1829
2023-04-07,flashbots,1827
2023-05-20,agnostic Gnosis,1826
2023-07-03,agnostic Gnosis,1825
2023-03-25,flashbots,1824
2023-08-24,agnostic Gnosis,1821
2023-05-23,flashbots,1820
2023-09-01,agnostic Gnosis,1816
2023-05-08,flashbots,1814
2023-05-13,agnostic Gnosis,1814
2023-08-05,agnostic Gnosis,1813
2023-05-17,flashbots,1809
2022-09-21,flashbots,1808
2023-04-15,flashbots,1805
2023-05-19,flashbots,1804
2023-07-14,bloxroute (max profit),1804
2023-09-12,agnostic Gnosis,1804
2023-07-02,agnostic Gnosis,1803
2023-09-18,agnostic Gnosis,1803
2023-03-28,flashbots,1802
2023-08-11,agnostic Gnosis,1800
2023-08-15,flashbots,1796
2023-08-14,flashbots,1792
2023-05-05,flashbots,1791
2023-09-08,agnostic Gnosis,1790
2023-04-06,agnostic Gnosis,1789
2023-04-21,agnostic Gnosis,1789
2023-07-15,agnostic Gnosis,1789
2023-08-06,agnostic Gnosis,1789
2023-07-26,agnostic Gnosis,1788
2023-04-20,agnostic Gnosis,1787
2023-09-04,agnostic Gnosis,1787
2023-04-17,flashbots,1784
2023-05-10,agnostic Gnosis,1784
2023-08-20,agnostic Gnosis,1784
2023-04-02,flashbots,1783
2023-06-30,agnostic Gnosis,1783
2023-05-02,agnostic Gnosis,1782
2023-05-18,flashbots,1782
2023-03-10,ultrasound,1780
2023-03-16,flashbots,1780
2023-04-14,agnostic Gnosis,1779
2023-05-05,agnostic Gnosis,1779
2023-08-07,agnostic Gnosis,1779
2023-09-05,agnostic Gnosis,1779
2023-03-13,ultrasound,1778
2023-05-24,flashbots,1778
2023-02-10,bloxroute (max profit),1777
2023-07-31,agnostic Gnosis,1777
2023-04-06,flashbots,1772
