date,censoring,Share_of_Blocks
2023-02-16,censoring,15.11339475549256
2023-02-17,non-censoring,84.62633451957295
2023-02-17,censoring,15.373665480427047
2023-02-18,non-censoring,83.69002416292717
2023-02-18,censoring,16.309975837072834
2023-02-19,non-censoring,85.36082474226804
2023-02-19,censoring,14.63917525773196
2023-02-20,non-censoring,84.98149127445795
2023-02-20,censoring,15.01850872554204
2023-02-21,non-censoring,84.41741582936719
2023-02-21,censoring,15.58258417063282
2023-02-22,non-censoring,84.44405471764294
2023-02-22,censoring,15.555945282357067
2023-02-23,non-censoring,85.02323980030987
2023-02-23,censoring,14.976760199690137
2023-02-24,non-censoring,84.68834688346884
2023-02-24,censoring,15.311653116531165
2023-02-25,non-censoring,84.73256601218687
2023-02-25,censoring,15.267433987813133
2023-02-26,non-censoring,84.35049437436072
2023-02-26,censoring,15.649505625639277
2023-02-27,non-censoring,84.7869842334787
2023-02-27,censoring,15.213015766521302
2023-02-28,non-censoring,85.6005420972387
2023-02-28,censoring,14.39945790276131
2023-03-01,non-censoring,84.99837292548
2023-03-01,censoring,15.001627074520012
2023-03-02,non-censoring,86.07224210868858
2023-03-02,censoring,13.92775789131142
2023-03-03,non-censoring,87.05211726384366
2023-03-03,censoring,12.947882736156352
2023-03-04,non-censoring,85.57254391672089
2023-03-04,censoring,14.427456083279115
2023-03-05,non-censoring,85.57520687976636
2023-03-05,censoring,14.424793120233653
2023-03-06,non-censoring,85.78696343402225
2023-03-06,censoring,14.213036565977744
2023-03-07,non-censoring,85.55755690191583
2023-03-07,censoring,14.442443098084166
2023-03-08,non-censoring,86.13290632506005
2023-03-08,censoring,13.867093674939952
2023-03-09,non-censoring,85.74123565477126
2023-03-09,censoring,14.25876434522874
2023-03-10,non-censoring,86.48058630905973
2023-03-10,censoring,13.519413690940278
2023-03-11,non-censoring,86.92632850241546
2023-03-11,censoring,13.073671497584542
2023-03-12,non-censoring,87.79689944531361
2023-03-12,censoring,12.203100554686388
2023-03-13,non-censoring,86.92408951294426
2023-03-13,censoring,13.075910487055726
2023-03-14,non-censoring,87.24061810154525
2023-03-14,censoring,12.759381898454746
2023-03-15,non-censoring,86.41397597878647
2023-03-15,censoring,13.58602402121354
2023-03-16,non-censoring,86.42199063585561
2023-03-16,censoring,13.578009364144389
2023-03-17,non-censoring,87.19951923076923
2023-03-17,censoring,12.800480769230768
2023-03-18,non-censoring,86.32903526487495
2023-03-18,censoring,13.670964735125057
2023-03-19,non-censoring,86.25906082571699
2023-03-19,censoring,13.740939174283012
2023-03-20,non-censoring,85.75892123006085
2023-03-20,censoring,14.241078769939156
2023-03-21,non-censoring,86.49944080524045
2023-03-21,censoring,13.500559194759546
2023-03-22,non-censoring,86.80810336576806
2023-03-22,censoring,13.191896634231934
2023-03-23,non-censoring,86.26417505190864
2023-03-23,censoring,13.735824948091361
2023-03-24,non-censoring,86.19651347068145
2023-03-24,censoring,13.803486529318542
2023-03-25,non-censoring,87.74703557312253
2023-03-25,censoring,12.25296442687747
