date,censoring,Share_of_Blocks
2023-02-03,censoring,61.33759658939515
2023-02-04,non-censoring,40.705945510669714
2023-02-04,censoring,59.29405448933029
2023-02-05,non-censoring,41.09881317509001
2023-02-05,censoring,58.90118682490999
2023-02-06,non-censoring,41.240536591844865
2023-02-06,censoring,58.759463408155135
2023-02-07,non-censoring,42.05619922759355
2023-02-07,censoring,57.94380077240645
2023-02-08,non-censoring,43.683226495726494
2023-02-08,censoring,56.31677350427351
2023-02-09,non-censoring,43.444384739387424
2023-02-09,censoring,56.55561526061257
2023-02-10,non-censoring,44.14643958696527
2023-02-10,censoring,55.85356041303473
2023-02-11,non-censoring,49.237299376575145
2023-02-11,censoring,50.76270062342486
2023-02-12,non-censoring,50.53580763199164
2023-02-12,censoring,49.46419236800836
2023-02-13,non-censoring,50.821179871238996
2023-02-13,censoring,49.178820128761004
2023-02-14,non-censoring,53.081876724931
2023-02-14,censoring,46.91812327506899
2023-02-15,non-censoring,53.75065342394145
2023-02-15,censoring,46.24934657605855
2023-02-16,non-censoring,52.99973453676666
2023-02-16,censoring,47.00026546323334
2023-02-17,non-censoring,49.50046623151725
2023-02-17,censoring,50.49953376848275
2023-02-18,non-censoring,51.86689375081881
2023-02-18,censoring,48.13310624918118
2023-02-19,non-censoring,52.97580117724002
2023-02-19,censoring,47.02419882275997
2023-02-20,non-censoring,50.09961482268561
2023-02-20,censoring,49.900385177314384
2023-02-21,non-censoring,53.31747290510177
2023-02-21,censoring,46.68252709489823
2023-02-22,non-censoring,53.19989465367395
2023-02-22,censoring,46.80010534632605
2023-02-23,non-censoring,55.83061889250814
2023-02-23,censoring,44.16938110749186
2023-02-24,non-censoring,54.831258822019755
2023-02-24,censoring,45.16874117798024
2023-02-25,non-censoring,56.476153944508376
2023-02-25,censoring,43.523846055491624
2023-02-26,non-censoring,54.95783286480961
2023-02-26,censoring,45.04216713519039
2023-02-27,non-censoring,55.38031035359959
2023-02-27,censoring,44.61968964640041
2023-02-28,non-censoring,56.22535927762941
2023-02-28,censoring,43.77464072237059
2023-03-01,non-censoring,59.37853818090326
2023-03-01,censoring,40.621461819096744
2023-03-02,non-censoring,62.01703493395877
2023-03-02,censoring,37.98296506604123
2023-03-03,non-censoring,61.21114948199309
2023-03-03,censoring,38.7888505180069
2023-03-04,non-censoring,59.75186104218362
2023-03-04,censoring,40.24813895781637
2023-03-05,non-censoring,61.51654070127618
2023-03-05,censoring,38.48345929872383
2023-03-06,non-censoring,62.28199459592238
2023-03-06,censoring,37.71800540407762
2023-03-07,non-censoring,63.951044628507844
2023-03-07,censoring,36.04895537149215
2023-03-08,non-censoring,62.313387547032406
2023-03-08,censoring,37.686612452967594
2023-03-09,non-censoring,60.62515144172522
2023-03-09,censoring,39.37484855827478
2023-03-10,non-censoring,59.63104935313848
2023-03-10,censoring,40.36895064686152
2023-03-11,non-censoring,61.81522748375116
2023-03-11,censoring,38.18477251624884
2023-03-12,non-censoring,63.70087336244541
2023-03-12,censoring,36.299126637554586
2023-03-13,non-censoring,62.73355225908731
2023-03-13,censoring,37.266447740912696
2023-03-14,non-censoring,62.28871630881682
2023-03-14,censoring,37.71128369118319
2023-03-15,non-censoring,61.41855969067183
2023-03-15,censoring,38.58144030932818
2023-03-16,non-censoring,61.29145259224661
2023-03-16,censoring,38.708547407753386
2023-03-17,non-censoring,65.64700450190465
2023-03-17,censoring,34.352995498095346
2023-03-18,non-censoring,68.03696244520792
2023-03-18,censoring,31.963037554792084
2023-03-19,non-censoring,68.64140926640927
2023-03-19,censoring,31.358590733590734
2023-03-20,non-censoring,67.99197290856641
2023-03-20,censoring,32.00802709143359
2023-03-21,non-censoring,68.94904458598727
2023-03-21,censoring,31.050955414012737
2023-03-22,non-censoring,69.84184914841849
2023-03-22,censoring,30.15815085158151
2023-03-23,non-censoring,70.12048192771084
2023-03-23,censoring,29.87951807228916
2023-03-24,non-censoring,70.28313400048816
2023-03-24,censoring,29.71686599951184
2023-03-25,non-censoring,69.87630366238176
2023-03-25,censoring,30.123696337618238
2023-03-26,non-censoring,71.23020706455542
2023-03-26,censoring,28.76979293544458
2023-03-27,non-censoring,72.47863247863248
2023-03-27,censoring,27.521367521367523
2023-03-28,non-censoring,71.48129921259843
2023-03-28,censoring,28.518700787401574
2023-03-29,non-censoring,71.47261963492846
2023-03-29,censoring,28.527380365071537
2023-03-30,non-censoring,73.58327146745856
2023-03-30,censoring,26.416728532541452
2023-03-31,non-censoring,72.85785660754435
2023-03-31,censoring,27.142143392455658
2023-04-01,non-censoring,73.57947434292866
2023-04-01,censoring,26.420525657071337
2023-04-02,non-censoring,72.26932668329177
2023-04-02,censoring,27.73067331670823
2023-04-03,non-censoring,71.20029728725382
2023-04-03,censoring,28.79970271274619
2023-04-04,non-censoring,70.10116148370176
2023-04-04,censoring,29.898838516298238
2023-04-05,non-censoring,72.58677787317552
2023-04-05,censoring,27.413222126824483
2023-04-06,non-censoring,73.48643006263048
2023-04-06,censoring,26.513569937369518
2023-04-07,non-censoring,73.7768136900458
2023-04-07,censoring,26.223186309954205
2023-04-08,non-censoring,73.01417172799809
2023-04-08,censoring,26.985828272001903
2023-04-09,non-censoring,71.56392560533395
2023-04-09,censoring,28.436074394666043
2023-04-10,non-censoring,72.49444509414104
2023-04-10,censoring,27.505554905858965
2023-04-11,non-censoring,69.71631205673758
2023-04-11,censoring,30.28368794326241
2023-04-12,non-censoring,71.59720549265238
2023-04-12,censoring,28.40279450734763
2023-04-13,non-censoring,72.22627737226277
2023-04-13,censoring,27.773722627737225
2023-04-14,non-censoring,80.28822055137844
2023-04-14,censoring,19.711779448621552
2023-04-15,non-censoring,75.64747759911624
2023-04-15,censoring,24.35252240088376
2023-04-16,non-censoring,74.24563884959925
2023-04-16,censoring,25.754361150400758
2023-04-17,non-censoring,71.3656911729717
2023-04-17,censoring,28.634308827028317
2023-04-18,non-censoring,70.72121882295123
2023-04-18,censoring,29.278781177048778
2023-04-19,non-censoring,71.98085419734905
2023-04-19,censoring,28.019145802650957
2023-04-20,non-censoring,69.05940594059405
2023-04-20,censoring,30.94059405940594
2023-04-21,non-censoring,67.86783042394015
2023-04-21,censoring,32.13216957605985
2023-04-22,non-censoring,64.21733184135273
2023-04-22,censoring,35.78266815864727
2023-04-23,non-censoring,69.94665085951392
2023-04-23,censoring,30.05334914048607
2023-04-24,non-censoring,70.34523809523809
2023-04-24,censoring,29.654761904761905
2023-04-25,non-censoring,69.93542214781154
2023-04-25,censoring,30.064577852188474
2023-04-26,non-censoring,70.60442848593657
2023-04-26,censoring,29.395571514063434
2023-04-27,non-censoring,70.94240837696336
2023-04-27,censoring,29.05759162303665
2023-04-28,non-censoring,71.94015785133703
2023-04-28,censoring,28.059842148662977
2023-04-29,non-censoring,72.78571428571429
2023-04-29,censoring,27.21428571428571
2023-04-30,non-censoring,71.5316573556797
2023-04-30,censoring,28.4683426443203
2023-05-01,non-censoring,71.1438063597532
2023-05-01,censoring,28.856193640246797
2023-05-02,non-censoring,72.55924170616113
2023-05-02,censoring,27.44075829383886
2023-05-03,non-censoring,73.08395272328501
2023-05-03,censoring,26.916047276715
2023-05-04,non-censoring,72.89207932838545
2023-05-04,censoring,27.10792067161455
2023-05-05,non-censoring,72.3448614177091
2023-05-05,censoring,27.6551385822909
2023-05-06,non-censoring,71.05930667955067
2023-05-06,censoring,28.940693320449327
2023-05-07,non-censoring,70.07444168734492
2023-05-07,censoring,29.925558312655088
2023-05-08,non-censoring,69.85429166156484
2023-05-08,censoring,30.145708338435167
2023-05-09,non-censoring,70.82868821999256
2023-05-09,censoring,29.171311780007432
2023-05-10,non-censoring,72.06793949913217
2023-05-10,censoring,27.932060500867838
2023-05-11,non-censoring,70.36176973845025
2023-05-11,censoring,29.63823026154974
2023-05-12,non-censoring,73.07829392895331
2023-05-12,censoring,26.921706071046692
2023-05-13,non-censoring,74.41693577323286
2023-05-13,censoring,25.58306422676713
2023-05-14,non-censoring,74.46442891511055
2023-05-14,censoring,25.535571084889447
2023-05-15,non-censoring,75.31477417119095
2023-05-15,censoring,24.685225828809056
2023-05-16,non-censoring,74.42401675587618
2023-05-16,censoring,25.575983244123808
2023-05-17,non-censoring,73.10256110396445
2023-05-17,censoring,26.897438896035553
2023-05-18,non-censoring,72.56501182033097
2023-05-18,censoring,27.434988179669027
2023-05-19,non-censoring,73.19234404536861
2023-05-19,censoring,26.807655954631382
2023-05-20,non-censoring,72.9304924903947
2023-05-20,censoring,27.069507509605312
2023-05-21,non-censoring,72.56209751609936
2023-05-21,censoring,27.437902483900643
2023-05-22,non-censoring,74.11805395434632
2023-05-22,censoring,25.881946045653674
2023-05-23,non-censoring,72.8437132784959
2023-05-23,censoring,27.156286721504113
2023-05-24,non-censoring,69.79056979056979
2023-05-24,censoring,30.20943020943021
2023-05-25,non-censoring,70.45108377270064
2023-05-25,censoring,29.548916227299355
2023-05-26,non-censoring,66.2093023255814
2023-05-26,censoring,33.79069767441861
2023-05-27,non-censoring,65.63185227928447
2023-05-27,censoring,34.36814772071552
2023-05-28,non-censoring,66.54684601113172
2023-05-28,censoring,33.45315398886827
2023-05-29,non-censoring,65.83391163543835
2023-05-29,censoring,34.166088364561645
2023-05-30,non-censoring,64.78200046630917
2023-05-30,censoring,35.217999533690836
2023-05-31,non-censoring,65.8496540401079
2023-05-31,censoring,34.15034595989211
2023-06-01,non-censoring,67.08154007211819
2023-06-01,censoring,32.91845992788182
2023-06-02,non-censoring,66.70152201696294
2023-06-02,censoring,33.29847798303706
2023-06-03,non-censoring,65.35552193645991
2023-06-03,censoring,34.64447806354009
2023-06-04,non-censoring,64.98300714871674
2023-06-04,censoring,35.01699285128325
2023-06-05,non-censoring,64.15559995299095
2023-06-05,censoring,35.84440004700905
2023-06-06,non-censoring,66.92693159305442
2023-06-06,censoring,33.07306840694558
2023-06-07,non-censoring,68.27473426001636
2023-06-07,censoring,31.725265739983648
2023-06-08,non-censoring,67.03051643192488
2023-06-08,censoring,32.96948356807512
2023-06-09,non-censoring,68.81994459833794
2023-06-09,censoring,31.18005540166205
2023-06-10,non-censoring,67.70682953914492
2023-06-10,censoring,32.29317046085508
2023-06-11,non-censoring,65.83444296493565
2023-06-11,censoring,34.16555703506436
2023-06-12,non-censoring,66.30606265494704
2023-06-12,censoring,33.693937345052966
2023-06-13,non-censoring,67.2330629247972
2023-06-13,censoring,32.766937075202804
2023-06-14,non-censoring,67.73805619328742
2023-06-14,censoring,32.26194380671259
2023-06-15,non-censoring,69.57144430979399
2023-06-15,censoring,30.428555690206018
2023-06-16,non-censoring,69.2713004484305
2023-06-16,censoring,30.728699551569505
2023-06-17,non-censoring,69.11335578002245
2023-06-17,censoring,30.886644219977555
2023-06-18,non-censoring,68.15666702831724
2023-06-18,censoring,31.84333297168276
2023-06-19,non-censoring,66.77025289327047
2023-06-19,censoring,33.22974710672953
2023-06-20,non-censoring,65.69445950341537
2023-06-20,censoring,34.30554049658463
2023-06-21,non-censoring,64.6072374227714
2023-06-21,censoring,35.392762577228595
2023-06-22,non-censoring,63.65238462385725
2023-06-22,censoring,36.34761537614274
2023-06-23,non-censoring,64.1025641025641
2023-06-23,censoring,35.8974358974359
2023-06-24,non-censoring,63.64902506963789
2023-06-24,censoring,36.35097493036212
2023-06-25,non-censoring,63.20084790673026
2023-06-25,censoring,36.79915209326974
2023-06-26,non-censoring,63.09035447564953
2023-06-26,censoring,36.90964552435047
2023-06-27,non-censoring,62.46324730480235
2023-06-27,censoring,37.53675269519765
2023-06-28,non-censoring,62.9158198737833
2023-06-28,censoring,37.08418012621671
2023-06-29,non-censoring,62.3963133640553
2023-06-29,censoring,37.6036866359447
2023-06-30,non-censoring,63.36781380545057
2023-06-30,censoring,36.63218619454943
2023-07-01,non-censoring,64.24384525205159
2023-07-01,censoring,35.756154747948415
2023-07-02,non-censoring,62.265790998647866
2023-07-02,censoring,37.734209001352134
2023-07-03,non-censoring,61.488275340393336
2023-07-03,censoring,38.51172465960666
2023-07-04,non-censoring,64.51459992415623
2023-07-04,censoring,35.485400075843756
2023-07-05,non-censoring,67.98479087452472
2023-07-05,censoring,32.01520912547529
2023-07-06,non-censoring,72.6683822876919
2023-07-06,censoring,27.331617712308105
2023-07-07,non-censoring,66.27557980900409
2023-07-07,censoring,33.72442019099591
2023-07-08,non-censoring,64.85225505443235
2023-07-08,censoring,35.14774494556765
2023-07-09,non-censoring,61.15792334873606
2023-07-09,censoring,38.84207665126393
2023-07-10,non-censoring,61.254612546125465
2023-07-10,censoring,38.74538745387454
2023-07-11,non-censoring,62.35864297253635
2023-07-11,censoring,37.64135702746365
2023-07-12,non-censoring,63.486073674752916
2023-07-12,censoring,36.513926325247084
2023-07-13,non-censoring,63.43409272227639
2023-07-13,censoring,36.56590727772361
2023-07-14,non-censoring,65.21466905187835
2023-07-14,censoring,34.78533094812165
2023-07-15,non-censoring,66.08218685370021
2023-07-15,censoring,33.91781314629979
2023-07-16,non-censoring,61.15066932497864
2023-07-16,censoring,38.849330675021356
2023-07-17,non-censoring,61.928134839785145
2023-07-17,censoring,38.071865160214855
2023-07-18,non-censoring,58.63092477506725
2023-07-18,censoring,41.36907522493275
2023-07-19,non-censoring,64.18648018648018
2023-07-19,censoring,35.81351981351981
2023-07-20,non-censoring,62.40926215198015
2023-07-20,censoring,37.59073784801984
2023-07-21,non-censoring,56.412177985948475
2023-07-21,censoring,43.587822014051525
2023-07-22,non-censoring,57.2648779129143
2023-07-22,censoring,42.73512208708569
2023-07-23,non-censoring,58.7907571467714
2023-07-23,censoring,41.20924285322861
2023-07-24,non-censoring,58.865440115440116
2023-07-24,censoring,41.134559884559884
2023-07-25,non-censoring,60.06025196275333
2023-07-25,censoring,39.93974803724667
2023-07-26,non-censoring,64.64396851546769
2023-07-26,censoring,35.35603148453231
2023-07-27,non-censoring,63.7398833051007
2023-07-27,censoring,36.2601166948993
2023-07-28,non-censoring,65.57208345027598
2023-07-28,censoring,34.42791654972402
2023-07-29,non-censoring,62.56566683612947
2023-07-29,censoring,37.434333163870534
2023-07-30,non-censoring,62.35009921490812
2023-07-30,censoring,37.64990078509188
2023-07-31,non-censoring,62.709632101150234
2023-07-31,censoring,37.290367898849766
2023-08-01,non-censoring,61.981833195706024
2023-08-01,censoring,38.018166804293976
2023-08-02,non-censoring,60.18972332015811
2023-08-02,censoring,39.8102766798419
2023-08-03,non-censoring,61.098883182522215
2023-08-03,censoring,38.901116817477785
2023-08-04,non-censoring,59.55484089370346
2023-08-04,censoring,40.44515910629654
2023-08-05,non-censoring,61.773085302497066
2023-08-05,censoring,38.226914697502934
2023-08-06,non-censoring,62.25719203343988
2023-08-06,censoring,37.742807966560115
2023-08-07,non-censoring,62.25090762404195
2023-08-07,censoring,37.74909237595805
2023-08-08,non-censoring,61.905924479166664
2023-08-08,censoring,38.09407552083333
2023-08-09,non-censoring,62.2986214914466
2023-08-09,censoring,37.7013785085534
2023-08-10,non-censoring,62.445023619482
2023-08-10,censoring,37.554976380518
2023-08-11,non-censoring,61.39014906027219
2023-08-11,censoring,38.6098509397278
2023-08-12,non-censoring,62.132709073296745
2023-08-12,censoring,37.86729092670326
