date,censoring,Share_of_Blocks
2022-12-16,censoring,42.12701474032236
2022-12-17,non-censoring,58.600055663790705
2022-12-17,censoring,41.399944336209295
2022-12-18,non-censoring,60.56551724137931
2022-12-18,censoring,39.43448275862069
2022-12-19,non-censoring,59.33453988584157
2022-12-19,censoring,40.66546011415843
2022-12-20,non-censoring,59.809864976577565
2022-12-20,censoring,40.19013502342243
2022-12-21,non-censoring,61.43781848230271
2022-12-21,censoring,38.56218151769728
2022-12-22,non-censoring,61.55436130632492
2022-12-22,censoring,38.44563869367507
2022-12-23,non-censoring,47.131204202958656
2022-12-23,censoring,52.86879579704134
2022-12-24,non-censoring,39.016664371298724
2022-12-24,censoring,60.98333562870128
2022-12-25,non-censoring,43.625086147484495
2022-12-25,censoring,56.374913852515505
2022-12-26,non-censoring,42.237474262182566
2022-12-26,censoring,57.76252573781744
2022-12-27,non-censoring,45.102631216420995
2022-12-27,censoring,54.897368783579005
2022-12-28,non-censoring,47.06368899917287
2022-12-28,censoring,52.93631100082713
2022-12-29,non-censoring,47.5947622329428
2022-12-29,censoring,52.4052377670572
2022-12-30,non-censoring,51.40174009114763
2022-12-30,censoring,48.59825990885237
2022-12-31,non-censoring,47.877618522601985
2022-12-31,censoring,52.122381477398015
2023-01-01,non-censoring,48.537690512151585
2023-01-01,censoring,51.462309487848415
2023-01-02,non-censoring,48.659737417943106
2023-01-02,censoring,51.340262582056894
2023-01-03,non-censoring,52.16375875807117
2023-01-03,censoring,47.83624124192883
2023-01-04,non-censoring,50.205987366108204
2023-01-04,censoring,49.79401263389179
2023-01-05,non-censoring,49.463991203958216
2023-01-05,censoring,50.53600879604178
2023-01-06,non-censoring,44.787803873094354
2023-01-06,censoring,55.212196126905646
2023-01-07,non-censoring,48.32535885167464
2023-01-07,censoring,51.674641148325364
2023-01-08,non-censoring,46.00906717955763
2023-01-08,censoring,53.990932820442374
2023-01-09,non-censoring,49.38713675802231
2023-01-09,censoring,50.61286324197769
2023-01-10,non-censoring,52.54237288135594
2023-01-10,censoring,47.45762711864407
2023-01-11,non-censoring,52.93228952067024
2023-01-11,censoring,47.06771047932976
2023-01-12,non-censoring,51.22649223221586
2023-01-12,censoring,48.77350776778414
2023-01-13,non-censoring,51.46717619762522
2023-01-13,censoring,48.53282380237478
2023-01-14,non-censoring,47.74750472079849
2023-01-14,censoring,52.252495279201504
2023-01-15,non-censoring,52.47497971328103
2023-01-15,censoring,47.52502028671896
2023-01-16,non-censoring,53.94308943089431
